證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外資買賣超,外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超,自營商買賣超,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),法人合計買賣超
2344,華邦電,144653802,111377859,33275.943,0,0,0,6794000,0,6794.0,12323.778,5991890,2206372,3785518,9434347,896087,8538260,52393.721
00981A,主動統一台股增長,12440101,611000,11829.101,0,0,0,0,0,0.0,39873.034,0,497000,-497000,46159590,5789556,40370034,51702.135
00982A,主動群益台灣強棒,6633000,2701550,3931.45,0,0,0,0,0,0.0,34041.336,10000,0,10000,37049074,3017738,34031336,37972.786
00673R,期元大S&P原油反1,0,0,0.0,0,0,0,0,0,0.0,30080.398,0,0,0,30105398,25000,30080398,30080.398
00878,國泰永續高股息,11631185,1000,11630.185,0,0,0,0,0,0.0,9036.824,50000,0,50000,12804694,3817870,8986824,20667.009
2382,廣達,23055125,6391827,16663.298,0,0,0,45000,232630,-187.63,1668.824,1630826,279000,1351826,419998,103000,316998,18144.492
00961,FT臺灣永續高息,3825000,41000,3784.0,0,0,0,0,0,0.0,13925.423,0,0,0,14540493,615070,13925423,17709.423
1504,東元,42891669,26647284,16244.385,0,0,0,1163000,73000,1090.0,-322.095,152801,391896,-239095,89000,172000,-83000,17012.29
2317,鴻海,28910922,14213649,14697.273,0,0,0,136000,395000,-259.0,1043.232,1501000,614000,887000,566986,410754,156232,15481.505
00940,元大台灣價值高息,1153082,2974000,-1820.918,0,0,0,0,0,0.0,17097.847,0,0,0,19705077,2607230,17097847,15276.929
2867,三商壽,18071000,2219000,15852.0,0,0,0,0,0,0.0,-1223.0,0,1223000,-1223000,0,0,0,14629.0
3481,群創,28495897,17018651,11477.246,0,0,0,15000,0,15.0,2039.712,436000,178050,257950,3480921,1699159,1781762,13531.958
00941,中信上游半導體,3227000,70000,3157.0,0,0,0,0,0,0.0,8723.472,0,0,0,9010472,287000,8723472,11880.472
00918,大華優利高填息30,4726150,0,4726.15,0,0,0,0,0,0.0,6033.566,0,0,0,6590142,556576,6033566,10759.716
00981T,平衡凱基雙核收息,0,0,0.0,0,0,0,0,0,0.0,9777.887,0,0,0,13366887,3589000,9777887,9777.887
2337,旺宏,18137000,9099785,9037.215,0,0,0,0,0,0.0,673.78,335000,205084,129916,1241483,697619,543864,9710.995
00680L,元大美債20正2,265000,0,265.0,0,0,0,0,0,0.0,9287.416,0,0,0,9487416,200000,9287416,9552.416
00929,復華台灣科技優息,111637,21000,90.637,0,0,0,0,0,0.0,8920.296,35000,0,35000,11845252,2959956,8885296,9010.933
2408,南亞科,7090300,6816508,273.792,0,0,0,0,94000,-94.0,8647.238,3372000,353000,3019000,5698238,70000,5628238,8827.03
2313,華通,13365000,5535100,7829.9,0,0,0,0,0,0.0,294.858,292049,278000,14049,366768,85959,280809,8124.758
2303,聯電,28689129,20242011,8447.118,0,0,0,204000,1336146,-1132.146,441.469,315000,0,315000,176345,49876,126469,7756.441
00881,國泰台灣科技龍頭,1130100,154500,975.6,0,0,0,1726000,0,1726.0,4710.888,344000,0,344000,7613747,3246859,4366888,7412.488
2376,技嘉,7958478,2848216,5110.262,0,0,0,128000,0,128.0,1115.265,350700,87600,263100,965807,113642,852165,6353.527
3231,緯創,26271473,22356539,3914.934,0,0,0,724000,140000,584.0,1834.159,641000,555997,85003,1963859,214703,1749156,6333.093
00706L,期元大S&P日圓正2,0,0,0.0,0,0,0,0,0,0.0,6241.615,0,0,0,8065000,1823385,6241615,6241.615
1802,台玻,15281000,8828000,6453.0,0,0,0,3000,323000,-320.0,46.6,810000,617161,192839,1424980,1571219,-146239,6179.6
8249,菱光,7180000,1341000,5839.0,0,0,0,0,0,0.0,29.884,40334,15000,25334,50550,46000,4550,5868.884
00927,群益半導體收益,44750,0,44.75,0,0,0,0,0,0.0,5666.755,0,0,0,6793755,1127000,5666755,5711.505
052328,奇鋐統一4C購02,0,0,0.0,0,0,0,0,0,0.0,5568.0,0,0,0,5578000,10000,5568000,5568.0
006208,富邦台50,1507671,439885,1067.786,0,0,0,0,0,0.0,4100.628,0,0,0,5157628,1057000,4100628,5168.414
051699,臺股指富邦4C購01,0,0,0.0,0,0,0,0,0,0.0,5116.0,0,0,0,5181000,65000,5116000,5116.0
00985A,主動野村台灣50,376000,153000,223.0,0,0,0,0,0,0.0,4637.056,0,0,0,8290425,3653369,4637056,4860.056
00915,凱基優選高股息30,938200,10000,928.2,0,0,0,0,0,0.0,3892.638,0,0,0,4124000,231362,3892638,4820.838
00662,富邦NASDAQ,1508002,32000,1476.002,0,0,0,0,0,0.0,3304.899,0,0,0,3449000,144101,3304899,4780.901
00688L,國泰20年美債正2,0,0,0.0,0,0,0,0,0,0.0,4586.931,0,556000,-556000,8231131,3088200,5142931,4586.931
8046,南電,12205154,8912510,3292.644,0,0,0,333000,0,333.0,824.012,626000,497700,128300,879054,183342,695712,4449.656
00757,統一FANG+,1578932,77000,1501.932,0,0,0,0,11000,-11.0,2698.282,216000,0,216000,2697000,214718,2482282,4189.214
009802,富邦旗艦50,0,58000,-58.0,0,0,0,0,0,0.0,4070.559,0,0,0,4793245,722686,4070559,4012.559
032214,台玻群益52購03,0,0,0.0,0,0,0,0,0,0.0,3998.0,0,0,0,4169000,171000,3998000,3998.0
6005,群益證,6493000,2330000,4163.0,0,0,0,68000,322570,-254.57,0.0,0,0,0,0,0,0,3908.43
00891,中信關鍵半導體,611495,74000,537.495,0,0,0,0,0,0.0,3325.879,0,0,0,3595369,269490,3325879,3863.374
03682B,臺股指元大54熊14,0,0,0.0,0,0,0,0,0,0.0,3831.0,0,0,0,4176000,345000,3831000,3831.0
4904,遠傳,5564105,1942000,3622.105,0,0,0,17000,35171,-18.171,7.672,330,0,330,11342,4000,7342,3611.606
2308,台達電,7517882,4758778,2759.104,0,0,0,715000,91249,623.751,208.282,309400,132200,177200,213604,182522,31082,3591.137
00951,台新日本半導體,111000,102000,9.0,0,0,0,0,0,0.0,3579.917,0,0,0,4727507,1147590,3579917,3588.917
3006,晶豪科,12495980,10328630,2167.35,0,0,0,0,0,0.0,1334.843,803038,482000,321038,1307781,293976,1013805,3502.193
036645,英業達永豐54購01,0,0,0.0,0,0,0,0,0,0.0,3472.0,0,0,0,3474000,2000,3472000,3472.0
2486,一詮,4982000,2168100,2813.9,0,0,0,0,0,0.0,471.426,343373,55000,288373,196615,13562,183053,3285.326
2327,國巨*,9509753,8055116,1454.637,0,0,0,51000,14469,36.531,1510.511,738200,253000,485200,1177318,152007,1025311,3001.679
00985B,群益ESG投等債0-5,1238000,0,1238.0,0,0,0,0,0,0.0,1658.081,0,0,0,7313000,5654919,1658081,2896.081
