排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,籌碼評分,風險等級,交易訊號,信心度,倉位建議
1,3017,奇鋐,$1165.00,87.1,A+,87,70,100,低,BUY,95%,可配置20-30%資金
2,2382,廣達,$300.00,85.1,A+,96,67,75,低,BUY,95%,可配置20-30%資金
3,2855,統一證,$24.15,85.0,A+,88,62,100,低,BUY,95%,可配置20-30%資金
4,2330,台積電,$1400.00,84.2,A+,78,82,75,低,BUY,88%,可配置20-30%資金
5,2376,技嘉,$311.50,83.5,A+,83,62,100,低,BUY,95%,可配置20-30%資金
6,2360,致茂,$639.00,79.0,A,83,72,50,低,BUY,95%,可配置20-30%資金
7,2345,智邦,$1105.00,78.3,A,82,65,75,低,BUY,92%,可配置20-30%資金
8,2458,義隆,$136.00,75.9,A,96,68,25,低,BUY,95%,可配置20-30%資金
9,1773,勝一,$141.00,75.2,A,76,73,50,低,BUY,86%,可配置20-30%資金
10,2545,皇翔,$43.50,74.6,A,72,80,50,低,BUY,95%,可配置20-30%資金
11,2327,國巨*,$175.50,73.6,A,59,68,70,低,HOLD,59%,可配置20-30%資金
12,3008,大立光,$2385.00,72.0,A,54,77,75,低,HOLD,44%,可配置20-30%資金
13,3044,健鼎,$309.00,71.9,A,68,70,50,低,BUY,88%,可配置20-30%資金
14,2024,志聯,$19.30,71.5,A,91,34,75,低,BUY,95%,可配置20-30%資金
15,2501,國建,$23.30,71.3,A,54,62,100,低,HOLD,44%,可配置20-30%資金
16,2867,三商壽,$6.42,71.0,A,100,35,75,中,BUY,95%,可配置20-30%資金
17,2762,世界健身-KY,$78.50,70.8,A,82,40,75,低,BUY,77%,可配置20-30%資金
18,2455,全新,$163.00,70.5,A,71,65,60,低,BUY,91%,可配置20-30%資金
19,1590,亞德客-KY,$810.00,70.2,A,80,65,25,低,BUY,95%,可配置20-30%資金
20,1736,喬山,$179.00,70.0,A,53,72,50,低,HOLD,53%,可配置20-30%資金
21,2059,川湖,$3415.00,69.9,B+,52,77,70,低,HOLD,47%,小額試單5-10%
22,1795,美時,$266.00,69.8,B+,42,75,75,低,HOLD,37%,小額試單5-10%
23,3004,豐達科,$140.00,68.9,B+,77,51,50,低,BUY,95%,小額試單5-10%
24,2348A,海悅甲特,$36.30,68.5,B+,68,71,50,低,BUY,88%,小額試單5-10%
25,2441,超豐,$63.20,68.4,B+,52,62,100,低,HOLD,47%,小額試單5-10%
26,1476,儒鴻,$440.00,67.5,B+,68,73,25,低,BUY,78%,小額試單5-10%
27,2881B,富邦金乙特,$62.10,67.4,B+,66,62,50,低,BUY,95%,小額試單5-10%
28,1789,神隆,$20.15,67.2,B+,95,38,30,低,BUY,95%,小額試單5-10%
29,2303,聯電,$43.85,67.1,B+,69,58,50,低,BUY,79%,小額試單5-10%
30,2887,台新新光金,$18.25,66.9,B+,67,47,75,低,BUY,95%,小額試單5-10%
31,00881,國泰台灣科技龍頭,$30.10,66.8,B+,92,0,95,低,BUY,95%,小額試單5-10%
32,2383,台光電,$1305.00,66.4,B+,47,66,50,低,HOLD,47%,小額試單5-10%
33,1463,強盛新,$21.45,66.2,B+,47,72,50,低,HOLD,47%,小額試單5-10%
34,1727,中華化,$40.30,65.8,B+,93,32,50,低,BUY,95%,小額試單5-10%
35,1560,中砂,$341.00,65.3,B+,73,63,35,低,BUY,93%,小額試單5-10%
36,2421,建準,$128.50,65.2,B+,40,68,75,低,SELL,55%,小額試單5-10%
37,2344,華邦電,$38.80,64.8,B+,54,41,100,中,HOLD,54%,可配置10-20%資金
38,1713,國化,$48.70,64.8,B+,45,67,75,低,HOLD,40%,小額試單5-10%
39,1236,宏亞,$27.45,64.5,B+,85,34,50,中,BUY,95%,可配置10-20%資金
40,2428,興勤,$170.50,64.3,B+,50,61,50,低,HOLD,50%,小額試單5-10%
41,2472,立隆電,$87.20,64.2,B+,57,68,50,低,HOLD,52%,小額試單5-10%
42,9802,鈺齊-KY,$104.50,64.2,B+,62,38,75,低,HOLD,57%,小額試單5-10%
43,2409,友達,$13.80,64.2,B+,81,37,35,低,BUY,81%,小額試單5-10%
44,1783,和康生,$47.05,64.1,B+,50,62,50,低,HOLD,50%,小額試單5-10%
45,1235,興泰,$65.00,63.9,B+,83,46,50,中,BUY,95%,可配置10-20%資金
46,2881A,富邦特,$63.50,63.8,B+,54,62,50,低,HOLD,44%,小額試單5-10%
47,2313,華通,$75.90,63.8,B+,61,50,50,低,HOLD,56%,小額試單5-10%
48,2497,怡利電,$49.15,63.8,B+,56,60,50,低,HOLD,51%,小額試單5-10%
49,1470,大統新創,$22.55,63.6,B+,68,50,50,低,BUY,78%,小額試單5-10%
50,2317,鴻海,$226.50,63.5,B+,44,52,75,低,HOLD,39%,小額試單5-10%
